
============================================================
filter_models.py — 2026-06-20 14:13:57
Source: /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models
Thresholds: nodes > 20  edges > 60  timeout 120s
============================================================

Found 7048 assembly.json model(s).
Found 182 hand-crafted STEP model(s) (no assembly.json).
  [1675/7048] NODES>20 (85 bodies): 79248_314ca891 → nodes_gt_20/
  [1676/7048] NODES>20 (85 bodies): 79248_cf16bd68 → nodes_gt_20/
  [1679/7048] NODES>20 (28 bodies): 80200_c18892ba → nodes_gt_20/
  [1680/7048] NODES>20 (63 bodies): 81227_f2ce5bb7 → nodes_gt_20/
  [1681/7048] NODES>20 (90 bodies): 81675_8d27fc68 → nodes_gt_20/
  [1683/7048] NODES>20 (22 bodies): 82191_29cb4c44 → nodes_gt_20/
  [1689/7048] NODES>20 (38 bodies): 82798_c2345d59 → nodes_gt_20/
  [1693/7048] NODES>20 (35 bodies): 85430_4d9dfbf5 → nodes_gt_20/
  [1694/7048] NODES>20 (196 bodies): 86906_78d912d7 → nodes_gt_20/
  [1695/7048] NODES>20 (169 bodies): 87044_409f2ff1 → nodes_gt_20/
  [1696/7048] NODES>20 (41 bodies): 88134_97474b52 → nodes_gt_20/
  [1699/7048] NODES>20 (31 bodies): 88496_e9091f87 → nodes_gt_20/
  [1710/7048] NODES>20 (64 bodies): 100112_bc0a563a → nodes_gt_20/
  [1729/7048] NODES>20 (37 bodies): 100622_1c7038f5 → nodes_gt_20/
  [1736/7048] NODES>20 (22 bodies): 101087_f4846d38 → nodes_gt_20/
  [1747/7048] NODES>20 (63 bodies): 101831_2478d1ce → nodes_gt_20/
  [1749/7048] NODES>20 (23 bodies): 102081_0edae3ed → nodes_gt_20/
  [1752/7048] NODES>20 (37 bodies): 102410_f9877a7b → nodes_gt_20/
  [1756/7048] NODES>20 (57 bodies): 102760_26430589 → nodes_gt_20/
  [1764/7048] NODES>20 (49 bodies): 103443_7f94acd4 → nodes_gt_20/
  [1770/7048] NODES>20 (24 bodies): 104100_ee5c2434 → nodes_gt_20/
  [1778/7048] NODES>20 (23 bodies): 104631_ddc4b27c → nodes_gt_20/
  [1781/7048] NODES>20 (76 bodies): 104641_2cd02839 → nodes_gt_20/
  [1782/7048] NODES>20 (90 bodies): 104646_1573b273 → nodes_gt_20/
  [1786/7048] NODES>20 (74 bodies): 104805_af0cfc04 → nodes_gt_20/
  [1790/7048] NODES>20 (22 bodies): 104906_e8782c1d → nodes_gt_20/
  [1792/7048] NODES>20 (74 bodies): 104995_a625a7c5 → nodes_gt_20/
  [1793/7048] NODES>20 (92 bodies): 105065_0b0d7804 → nodes_gt_20/
  [1804/7048] NODES>20 (68 bodies): 105823_ac4f4682 → nodes_gt_20/
  [1807/7048] NODES>20 (76 bodies): 105897_9472c380 → nodes_gt_20/
  [1823/7048] NODES>20 (140 bodies): 106637_a3b7cc4d → nodes_gt_20/
  [1840/7048] NODES>20 (56 bodies): 107494_a135a4a5 → nodes_gt_20/
  [1843/7048] NODES>20 (88 bodies): 107575_84d42f2c → nodes_gt_20/
  [1850/7048] NODES>20 (25 bodies): 107917_b809bbb2 → nodes_gt_20/
  [1852/7048] NODES>20 (75 bodies): 108093_59334cb3 → nodes_gt_20/
  [1856/7048] NODES>20 (92 bodies): 108259_20dc5b09 → nodes_gt_20/
  [1859/7048] NODES>20 (43 bodies): 108412_8de2f9c3 → nodes_gt_20/
  [1871/7048] NODES>20 (36 bodies): 108854_20032e01 → nodes_gt_20/
  [1872/7048] NODES>20 (21 bodies): 108855_86bf65d0 → nodes_gt_20/
  [1881/7048] NODES>20 (84 bodies): 109231_7287ee58 → nodes_gt_20/
  [1883/7048] NODES>20 (56 bodies): 109310_8a6b9e6c → nodes_gt_20/
  [1890/7048] NODES>20 (21 bodies): 109637_8b7fe169 → nodes_gt_20/
  [1892/7048] NODES>20 (30 bodies): 109772_5faa88e8 → nodes_gt_20/
  [1894/7048] NODES>20 (23 bodies): 109772_ead94f62 → nodes_gt_20/
  [1895/7048] NODES>20 (44 bodies): 109772_f1a0845e → nodes_gt_20/
  [1902/7048] NODES>20 (22 bodies): 109946_242843a6 → nodes_gt_20/
  [1911/7048] NODES>20 (91 bodies): 110237_4ea5b5f9 → nodes_gt_20/
  [1925/7048] NODES>20 (21 bodies): 110867_c97b35ff → nodes_gt_20/
  [1954/7048] NODES>20 (27 bodies): 111380_68491dc0 → nodes_gt_20/
  [1956/7048] NODES>20 (107 bodies): 111392_5bfd15ff → nodes_gt_20/
  [1964/7048] NODES>20 (54 bodies): 111684_599efe0c → nodes_gt_20/
  [1965/7048] NODES>20 (125 bodies): 111698_28d1b5b3 → nodes_gt_20/
  [1974/7048] NODES>20 (61 bodies): 112017_a8394d4b → nodes_gt_20/
  [1981/7048] NODES>20 (120 bodies): 112273_e1552c6c → nodes_gt_20/
  [1985/7048] NODES>20 (58 bodies): 112553_5b128ae5 → nodes_gt_20/
  [1986/7048] NODES>20 (66 bodies): 112553_8dd213f8 → nodes_gt_20/
  [1993/7048] NODES>20 (162 bodies): 113004_ef603168 → nodes_gt_20/
  Progress: 2000/7048 — nodes_mv: 377  edges_mv: 4
  [2002/7048] NODES>20 (26 bodies): 113343_e692c488 → nodes_gt_20/
  [2003/7048] NODES>20 (87 bodies): 113344_d630e8fa → nodes_gt_20/
  [2004/7048] NODES>20 (23 bodies): 113345_5889a8f8 → nodes_gt_20/
  [2013/7048] NODES>20 (24 bodies): 113368_210655c3 → nodes_gt_20/
  [2016/7048] NODES>20 (36 bodies): 113695_62f7c3cc → nodes_gt_20/
  [2021/7048] NODES>20 (39 bodies): 113835_cf320425 → nodes_gt_20/
  [2022/7048] NODES>20 (40 bodies): 113841_5c85a0f0 → nodes_gt_20/
  [2024/7048] NODES>20 (23 bodies): 113952_b846ab8d → nodes_gt_20/
  [2028/7048] NODES>20 (31 bodies): 114265_5baa8fde → nodes_gt_20/
  [2040/7048] NODES>20 (35 bodies): 114425_891ab08d → nodes_gt_20/
  [2046/7048] NODES>20 (49 bodies): 114935_797875fe → nodes_gt_20/
  [2053/7048] NODES>20 (56 bodies): 115326_0fe04ddd → nodes_gt_20/
  [2054/7048] NODES>20 (46 bodies): 115326_1e6b1e16 → nodes_gt_20/
  [2055/7048] NODES>20 (21 bodies): 115326_7a784b76 → nodes_gt_20/
  [2061/7048] NODES>20 (76 bodies): 115603_50901239 → nodes_gt_20/
  [2066/7048] NODES>20 (22 bodies): 115626_a0f4576b → nodes_gt_20/
  [2070/7048] NODES>20 (50 bodies): 115786_e4499f95 → nodes_gt_20/
  [2074/7048] NODES>20 (26 bodies): 116078_f83cffb9 → nodes_gt_20/
  [2094/7048] NODES>20 (33 bodies): 117225_d344efa7 → nodes_gt_20/
  [2097/7048] NODES>20 (91 bodies): 117315_34c61072 → nodes_gt_20/
  [2111/7048] NODES>20 (42 bodies): 117850_a02fde95 → nodes_gt_20/
  [2137/7048] NODES>20 (29 bodies): 118537_5805bf71 → nodes_gt_20/
  [2142/7048] NODES>20 (84 bodies): 118629_1004111b → nodes_gt_20/
  [2152/7048] NODES>20 (122 bodies): 119054_4e1076ec → nodes_gt_20/
  [2159/7048] NODES>20 (45 bodies): 119543_8a5f8113 → nodes_gt_20/
  [2162/7048] NODES>20 (27 bodies): 119869_e8f0dd81 → nodes_gt_20/
  [2178/7048] NODES>20 (91 bodies): 119926_df92c678 → nodes_gt_20/
  [2180/7048] NODES>20 (180 bodies): 120069_0ebfe193 → nodes_gt_20/
  [2200/7048] NODES>20 (31 bodies): 120791_c05891a9 → nodes_gt_20/
  [2201/7048] NODES>20 (48 bodies): 120800_6ee246cf → nodes_gt_20/
  [2207/7048] NODES>20 (66 bodies): 121170_a57becc5 → nodes_gt_20/
  [2209/7048] NODES>20 (28 bodies): 121172_0ac63503 → nodes_gt_20/
  [2211/7048] NODES>20 (22 bodies): 121289_16ee4335 → nodes_gt_20/
  [2214/7048] NODES>20 (60 bodies): 121540_629c716f → nodes_gt_20/
  [2216/7048] NODES>20 (34 bodies): 121692_d16f894d → nodes_gt_20/
  [2221/7048] NODES>20 (27 bodies): 121932_cd75c391 → nodes_gt_20/
  [2224/7048] NODES>20 (22 bodies): 122103_58a83e48 → nodes_gt_20/
  [2235/7048] NODES>20 (96 bodies): 122500_e33660ad → nodes_gt_20/
  [2236/7048] NODES>20 (39 bodies): 122515_758d8b70 → nodes_gt_20/
  [2240/7048] NODES>20 (27 bodies): 122587_febb5971 → nodes_gt_20/
  [2241/7048] NODES>20 (24 bodies): 122589_3e2e7b9f → nodes_gt_20/
  [2247/7048] EDGES>60 (88 dir-edges): 122758_5f4efbf0 → edges_gt_60/
  [2261/7048] NODES>20 (29 bodies): 123091_0fe1e797 → nodes_gt_20/
  [2266/7048] NODES>20 (43 bodies): 123181_4e56fb4f → nodes_gt_20/
  [2270/7048] NODES>20 (37 bodies): 123401_73b57b14 → nodes_gt_20/
  [2273/7048] NODES>20 (47 bodies): 123415_92630c74 → nodes_gt_20/
  [2275/7048] EDGES>60 (74 dir-edges): 123496_74cb10dc → edges_gt_60/
  [2277/7048] NODES>20 (91 bodies): 123514_e7a4ef43 → nodes_gt_20/
  [2286/7048] NODES>20 (28 bodies): 123689_ccbd39d6 → nodes_gt_20/
  [2293/7048] NODES>20 (34 bodies): 123843_84980239 → nodes_gt_20/
  [2295/7048] NODES>20 (112 bodies): 123865_f6dff61e → nodes_gt_20/
  [2297/7048] EDGES>60 (72 dir-edges): 123940_74d90c60 → edges_gt_60/
  [2301/7048] NODES>20 (31 bodies): 124013_29e69d5b → nodes_gt_20/
  [2319/7048] NODES>20 (23 bodies): 124496_20e20439 → nodes_gt_20/
  [2320/7048] NODES>20 (23 bodies): 124497_5c00f42d → nodes_gt_20/
  [2332/7048] NODES>20 (33 bodies): 124903_21c797ac → nodes_gt_20/
  [2333/7048] NODES>20 (118 bodies): 125006_9a46a400 → nodes_gt_20/
  [2344/7048] NODES>20 (235 bodies): 125593_b7792871 → nodes_gt_20/
  [2358/7048] NODES>20 (52 bodies): 126068_f94ff813 → nodes_gt_20/
  [2359/7048] NODES>20 (29 bodies): 126086_35ea55a5 → nodes_gt_20/
  [2360/7048] NODES>20 (57 bodies): 126172_e837ed2d → nodes_gt_20/
  [2362/7048] NODES>20 (21 bodies): 126397_cc08a23d → nodes_gt_20/
  [2364/7048] NODES>20 (42 bodies): 126413_4c85d641 → nodes_gt_20/
  [2366/7048] NODES>20 (23 bodies): 126479_e3f1c0b2 → nodes_gt_20/
  [2369/7048] NODES>20 (38 bodies): 126572_a2d6f794 → nodes_gt_20/
  [2372/7048] NODES>20 (44 bodies): 126675_bc94813f → nodes_gt_20/
  [2374/7048] NODES>20 (75 bodies): 126833_66a89b1d → nodes_gt_20/
  [2376/7048] NODES>20 (31 bodies): 126838_a1d7ba12 → nodes_gt_20/
  [2378/7048] NODES>20 (32 bodies): 126846_65f48c2f → nodes_gt_20/
  [2388/7048] NODES>20 (31 bodies): 126930_7456843c → nodes_gt_20/
  [2389/7048] NODES>20 (26 bodies): 126990_18260b3d → nodes_gt_20/
  [2390/7048] NODES>20 (24 bodies): 126998_56154070 → nodes_gt_20/
  [2399/7048] NODES>20 (108 bodies): 127202_42451722 → nodes_gt_20/
  [2401/7048] NODES>20 (36 bodies): 127274_6484a80b → nodes_gt_20/
  [2407/7048] NODES>20 (33 bodies): 127392_4b9c99cd → nodes_gt_20/
  [2408/7048] NODES>20 (24 bodies): 127451_517d54f3 → nodes_gt_20/
  [2418/7048] NODES>20 (24 bodies): 127734_395dcf7d → nodes_gt_20/
  [2422/7048] NODES>20 (45 bodies): 127894_79d8e087 → nodes_gt_20/
  [2433/7048] EDGES>60 (86 dir-edges): 128441_b3d88d7a → edges_gt_60/
  [2435/7048] NODES>20 (90 bodies): 128507_0070553e → nodes_gt_20/
  [2445/7048] NODES>20 (56 bodies): 129010_4bd46fcf → nodes_gt_20/
  [2453/7048] NODES>20 (257 bodies): 129404_b44c37dc → nodes_gt_20/
  [2461/7048] NODES>20 (22 bodies): 129421_483d2957 → nodes_gt_20/
  [2462/7048] NODES>20 (115 bodies): 129428_edce5555 → nodes_gt_20/
  [2472/7048] NODES>20 (171 bodies): 129845_8e93541e → nodes_gt_20/
  [2473/7048] NODES>20 (24 bodies): 129926_76c8dd82 → nodes_gt_20/
  [2477/7048] NODES>20 (37 bodies): 130021_3bc76f0f → nodes_gt_20/
  [2478/7048] NODES>20 (153 bodies): 130093_18da9bca → nodes_gt_20/
  [2481/7048] NODES>20 (21 bodies): 130273_bea3b1ca → nodes_gt_20/
  [2486/7048] NODES>20 (29 bodies): 130365_d37d0b81 → nodes_gt_20/
  [2487/7048] NODES>20 (72 bodies): 130417_2c7c5f27 → nodes_gt_20/
  [2490/7048] NODES>20 (25 bodies): 130476_1dd5d4f7 → nodes_gt_20/
  [2497/7048] NODES>20 (101 bodies): 130562_aa70849c → nodes_gt_20/
  [2498/7048] NODES>20 (33 bodies): 130574_a9c03705 → nodes_gt_20/
  Progress: 2500/7048 — nodes_mv: 467  edges_mv: 8
  [2506/7048] NODES>20 (23 bodies): 130659_16f2db4c → nodes_gt_20/
  [2514/7048] NODES>20 (21 bodies): 130731_93b4a812 → nodes_gt_20/
  [2517/7048] NODES>20 (102 bodies): 130770_365b0246 → nodes_gt_20/
  [2541/7048] NODES>20 (84 bodies): 131193_98f3ac52 → nodes_gt_20/
  [2542/7048] NODES>20 (36 bodies): 131211_82f011c9 → nodes_gt_20/
  [2544/7048] NODES>20 (103 bodies): 131237_d71722a8 → nodes_gt_20/
  [2546/7048] NODES>20 (23 bodies): 131260_4f9f60b1 → nodes_gt_20/
  [2548/7048] NODES>20 (81 bodies): 131350_bbdad30d → nodes_gt_20/
  [2559/7048] NODES>20 (31 bodies): 131468_117edf36 → nodes_gt_20/
  [2575/7048] NODES>20 (32 bodies): 131711_b6dd09f7 → nodes_gt_20/
  [2583/7048] NODES>20 (22 bodies): 131863_d8b2c0a3 → nodes_gt_20/
  [2584/7048] NODES>20 (28 bodies): 131879_86607613 → nodes_gt_20/
  [2596/7048] NODES>20 (26 bodies): 131969_9e97c6e0 → nodes_gt_20/
  [2597/7048] NODES>20 (146 bodies): 131998_287fefc5 → nodes_gt_20/
  [2617/7048] NODES>20 (64 bodies): 132215_257c0f88 → nodes_gt_20/
  [2665/7048] NODES>20 (46 bodies): 132529_cdcc5d1d → nodes_gt_20/
  [2668/7048] NODES>20 (60 bodies): 132549_cf6511f7 → nodes_gt_20/
  [2672/7048] NODES>20 (24 bodies): 132581_e683b2ae → nodes_gt_20/
  [2676/7048] NODES>20 (22 bodies): 132605_8ae2ba54 → nodes_gt_20/
  [2681/7048] NODES>20 (32 bodies): 132631_3d7aa818 → nodes_gt_20/
  [2682/7048] NODES>20 (64 bodies): 132631_59f39d54 → nodes_gt_20/
  [2683/7048] NODES>20 (41 bodies): 132631_822ab5c9 → nodes_gt_20/
  [2684/7048] NODES>20 (41 bodies): 132631_b6f9d278 → nodes_gt_20/
  [2685/7048] NODES>20 (41 bodies): 132631_b9b56c40 → nodes_gt_20/
  [2688/7048] NODES>20 (22 bodies): 132676_b284ce53 → nodes_gt_20/
  [2691/7048] NODES>20 (22 bodies): 132685_6ff62835 → nodes_gt_20/
  [2700/7048] NODES>20 (25 bodies): 132720_0f5663a9 → nodes_gt_20/
  [2706/7048] NODES>20 (33 bodies): 132827_87f90194 → nodes_gt_20/
  [2714/7048] NODES>20 (25 bodies): 132901_7d205bb4 → nodes_gt_20/
  [2715/7048] NODES>20 (32 bodies): 132914_55163a0e → nodes_gt_20/
  [2716/7048] NODES>20 (22 bodies): 132916_f15f6b71 → nodes_gt_20/
  [2725/7048] NODES>20 (45 bodies): 133080_b2b10214 → nodes_gt_20/
  [2726/7048] NODES>20 (45 bodies): 133080_d01fe500 → nodes_gt_20/
  [2730/7048] NODES>20 (143 bodies): 133129_0872b871 → nodes_gt_20/
  [2731/7048] NODES>20 (200 bodies): 133129_48a91685 → nodes_gt_20/
  [2732/7048] NODES>20 (244 bodies): 133129_83136137 → nodes_gt_20/
  [2735/7048] NODES>20 (28 bodies): 133177_b5476b33 → nodes_gt_20/
  [2752/7048] NODES>20 (41 bodies): 133411_f82e5b22 → nodes_gt_20/
  [2758/7048] NODES>20 (22 bodies): 133479_25959b28 → nodes_gt_20/
  [2760/7048] NODES>20 (45 bodies): 133523_6c1222d6 → nodes_gt_20/
  [2763/7048] NODES>20 (166 bodies): 133564_b5340c41 → nodes_gt_20/
  [2764/7048] NODES>20 (24 bodies): 133571_db59c0e3 → nodes_gt_20/
  [2776/7048] NODES>20 (33 bodies): 133768_6787114d → nodes_gt_20/
  [2778/7048] NODES>20 (53 bodies): 133819_20a3ea6c → nodes_gt_20/
  [2787/7048] NODES>20 (26 bodies): 133969_87aef90a → nodes_gt_20/
  [2790/7048] NODES>20 (29 bodies): 133985_2cffbc4f → nodes_gt_20/
  [2791/7048] NODES>20 (72 bodies): 133989_1aa964b4 → nodes_gt_20/
  [2792/7048] NODES>20 (68 bodies): 133989_b2a532b9 → nodes_gt_20/
  [2797/7048] NODES>20 (22 bodies): 134018_4df544fd → nodes_gt_20/
  [2802/7048] NODES>20 (29 bodies): 134057_9733029e → nodes_gt_20/
  [2808/7048] NODES>20 (26 bodies): 134189_c08fdee5 → nodes_gt_20/
  [2812/7048] NODES>20 (21 bodies): 134284_28ba41df → nodes_gt_20/
  [2824/7048] NODES>20 (39 bodies): 134513_9d184eee → nodes_gt_20/
  [2826/7048] NODES>20 (57 bodies): 134530_2333795d → nodes_gt_20/
  [2828/7048] NODES>20 (28 bodies): 134582_7eb0e129 → nodes_gt_20/
  [2832/7048] NODES>20 (24 bodies): 134636_b15ec34d → nodes_gt_20/
  [2839/7048] NODES>20 (21 bodies): 134757_9af2a5c0 → nodes_gt_20/
  [2841/7048] NODES>20 (23 bodies): 134811_63ed1489 → nodes_gt_20/
  [2844/7048] NODES>20 (113 bodies): 134853_9caf9e3a → nodes_gt_20/
  [2845/7048] NODES>20 (64 bodies): 134855_59332110 → nodes_gt_20/
  [2858/7048] NODES>20 (105 bodies): 134979_7857b2e0 → nodes_gt_20/
  [2861/7048] NODES>20 (26 bodies): 135021_52b9c2b3 → nodes_gt_20/
  [2865/7048] NODES>20 (48 bodies): 135066_6988a2eb → nodes_gt_20/
  [2873/7048] NODES>20 (154 bodies): 135142_8c7abb65 → nodes_gt_20/
  [2877/7048] NODES>20 (23 bodies): 135261_aaa17ec7 → nodes_gt_20/
  [2884/7048] NODES>20 (118 bodies): 135317_7cab68a2 → nodes_gt_20/
  [2887/7048] NODES>20 (42 bodies): 135321_ca4ba401 → nodes_gt_20/
  [2890/7048] NODES>20 (22 bodies): 135322_7f8268d2 → nodes_gt_20/
  [2901/7048] NODES>20 (95 bodies): 135385_c8fedd05 → nodes_gt_20/
  [2904/7048] NODES>20 (52 bodies): 135445_77b4ac77 → nodes_gt_20/
  [2906/7048] NODES>20 (29 bodies): 135514_12de81ba → nodes_gt_20/
  [2910/7048] NODES>20 (307 bodies): 135525_374a3c36 → nodes_gt_20/
  [2911/7048] NODES>20 (87 bodies): 135530_5bb2fa59 → nodes_gt_20/
  [2912/7048] NODES>20 (45 bodies): 135557_370b6b16 → nodes_gt_20/
  [2913/7048] NODES>20 (46 bodies): 135557_c959c4d5 → nodes_gt_20/
  [2917/7048] NODES>20 (25 bodies): 135643_3ad56ced → nodes_gt_20/
  [2920/7048] NODES>20 (204 bodies): 135771_b030a25c → nodes_gt_20/
  [2922/7048] NODES>20 (251 bodies): 135790_a27f9deb → nodes_gt_20/
  [2925/7048] NODES>20 (133 bodies): 135842_03e5ca3f → nodes_gt_20/
  [2927/7048] NODES>20 (21 bodies): 135867_fa1e195e → nodes_gt_20/
  [2928/7048] NODES>20 (91 bodies): 135896_ecae901d → nodes_gt_20/
  [2930/7048] NODES>20 (68 bodies): 135906_29d7b495 → nodes_gt_20/
  [2932/7048] NODES>20 (95 bodies): 135906_88f334dc → nodes_gt_20/
  [2938/7048] NODES>20 (23 bodies): 135949_06517574 → nodes_gt_20/
  [2940/7048] NODES>20 (23 bodies): 136015_20ead420 → nodes_gt_20/
  [2946/7048] NODES>20 (42 bodies): 136110_c2db3adb → nodes_gt_20/
  [2948/7048] NODES>20 (32 bodies): 136131_75bd77f5 → nodes_gt_20/
  [2959/7048] NODES>20 (21 bodies): 136318_130d6a06 → nodes_gt_20/
  [2979/7048] NODES>20 (23 bodies): 136477_c46134fc → nodes_gt_20/
  Progress: 3000/7048 — nodes_mv: 556  edges_mv: 8
  [3009/7048] NODES>20 (39 bodies): 136708_713328ed → nodes_gt_20/
  [3019/7048] NODES>20 (60 bodies): 136891_4af46e9c → nodes_gt_20/
  [3025/7048] NODES>20 (26 bodies): 136936_b4f0c062 → nodes_gt_20/
  [3031/7048] NODES>20 (26 bodies): 137008_280092b2 → nodes_gt_20/
  [3038/7048] NODES>20 (37 bodies): 137090_3aac3aab → nodes_gt_20/
  [3039/7048] NODES>20 (39 bodies): 137090_b1310e7d → nodes_gt_20/
  [3046/7048] NODES>20 (22 bodies): 137118_4ff32ab1 → nodes_gt_20/
  [3058/7048] NODES>20 (28 bodies): 137284_0cc53fb5 → nodes_gt_20/
  [3071/7048] NODES>20 (128 bodies): 137416_0319a631 → nodes_gt_20/
  [3099/7048] NODES>20 (26 bodies): 137785_67c3085b → nodes_gt_20/
  [3105/7048] NODES>20 (124 bodies): 137837_9c9f163d → nodes_gt_20/
  [3109/7048] NODES>20 (32 bodies): 137878_9c5480b1 → nodes_gt_20/
  [3119/7048] NODES>20 (36 bodies): 138007_0453361b → nodes_gt_20/
  [3122/7048] NODES>20 (34 bodies): 138037_767a4126 → nodes_gt_20/
  [3125/7048] NODES>20 (26 bodies): 138072_8a1ea1e0 → nodes_gt_20/
  [3156/7048] NODES>20 (32 bodies): 138210_482aa6e2 → nodes_gt_20/
  [3162/7048] NODES>20 (22 bodies): 138242_d520d083 → nodes_gt_20/
  [3166/7048] NODES>20 (75 bodies): 138258_55eacc48 → nodes_gt_20/
  [3172/7048] NODES>20 (24 bodies): 138399_8f4638a4 → nodes_gt_20/
  [3182/7048] NODES>20 (73 bodies): 138520_f4e0bc0b → nodes_gt_20/
  [3183/7048] NODES>20 (30 bodies): 138521_4994239f → nodes_gt_20/
  [3184/7048] NODES>20 (47 bodies): 138535_c0da19b3 → nodes_gt_20/
  [3185/7048] NODES>20 (31 bodies): 138560_f9532628 → nodes_gt_20/
  [3188/7048] NODES>20 (21 bodies): 138643_9fdbe752 → nodes_gt_20/
  [3190/7048] EDGES>60 (62 dir-edges): 138741_d4087905 → edges_gt_60/
  [3192/7048] NODES>20 (51 bodies): 138748_5721b4fa → nodes_gt_20/
  [3193/7048] NODES>20 (51 bodies): 138748_a3e7a578 → nodes_gt_20/
  [3195/7048] NODES>20 (138 bodies): 138768_feb565de → nodes_gt_20/
  [3196/7048] NODES>20 (31 bodies): 138771_38afab8e → nodes_gt_20/
  [3199/7048] NODES>20 (49 bodies): 138790_dbbff3f3 → nodes_gt_20/
  [3201/7048] NODES>20 (37 bodies): 138810_64bb6324 → nodes_gt_20/
  [3214/7048] NODES>20 (28 bodies): 138930_3c2d5769 → nodes_gt_20/
  [3215/7048] EDGES>60 (82 dir-edges): 138946_b45b2c50 → edges_gt_60/
  [3217/7048] NODES>20 (103 bodies): 139024_6622ce65 → nodes_gt_20/
  [3219/7048] NODES>20 (28 bodies): 139037_72f118ef → nodes_gt_20/
  [3227/7048] NODES>20 (48 bodies): 139191_329ac5ad → nodes_gt_20/
  [3228/7048] NODES>20 (21 bodies): 139222_2c10ca9a → nodes_gt_20/
  [3230/7048] NODES>20 (30 bodies): 139257_6c66375e → nodes_gt_20/
  [3231/7048] NODES>20 (27 bodies): 139280_8874b1ab → nodes_gt_20/
  [3238/7048] NODES>20 (70 bodies): 139341_dc122415 → nodes_gt_20/
  [3247/7048] NODES>20 (36 bodies): 139416_446bba1a → nodes_gt_20/
  [3249/7048] NODES>20 (51 bodies): 139434_124819ef → nodes_gt_20/
  [3252/7048] NODES>20 (31 bodies): 139469_8e9175f6 → nodes_gt_20/
  [3255/7048] NODES>20 (41 bodies): 139495_1af83143 → nodes_gt_20/
  [3260/7048] NODES>20 (38 bodies): 139558_4bd1b380 → nodes_gt_20/
  [3267/7048] NODES>20 (47 bodies): 139597_7005536c → nodes_gt_20/
  [3268/7048] NODES>20 (48 bodies): 139616_43234ab8 → nodes_gt_20/
  [3270/7048] NODES>20 (37 bodies): 139661_105bb47a → nodes_gt_20/
  [3271/7048] NODES>20 (21 bodies): 139665_4e8aac7d → nodes_gt_20/
  [3275/7048] NODES>20 (40 bodies): 139680_b1f65d1f → nodes_gt_20/
  [3276/7048] NODES>20 (21 bodies): 139698_68f57fd8 → nodes_gt_20/
  [3277/7048] NODES>20 (23 bodies): 139702_cd66b5cc → nodes_gt_20/
  [3283/7048] NODES>20 (88 bodies): 139796_515f80a8 → nodes_gt_20/
  [3285/7048] NODES>20 (103 bodies): 139801_97e2ca6a → nodes_gt_20/
  [3287/7048] NODES>20 (27 bodies): 139815_284ee0d7 → nodes_gt_20/
  [3291/7048] NODES>20 (25 bodies): 139853_d0680974 → nodes_gt_20/
  [3292/7048] NODES>20 (260 bodies): 139866_1209934f → nodes_gt_20/
  [3294/7048] NODES>20 (26 bodies): 140011_8c40a59c → nodes_gt_20/
  [3303/7048] NODES>20 (171 bodies): 140294_f659b875 → nodes_gt_20/
  [3305/7048] NODES>20 (32 bodies): 140326_ce96d7e5 → nodes_gt_20/
  [3310/7048] NODES>20 (89 bodies): 140421_9286563d → nodes_gt_20/
  [3311/7048] NODES>20 (44 bodies): 140443_c3449f3c → nodes_gt_20/
  [3313/7048] NODES>20 (21 bodies): 140462_343115e7 → nodes_gt_20/
  [3314/7048] NODES>20 (33 bodies): 140462_bb2c68e8 → nodes_gt_20/
  [3319/7048] NODES>20 (26 bodies): 140499_419d5823 → nodes_gt_20/
  [3324/7048] NODES>20 (77 bodies): 140600_a065e504 → nodes_gt_20/
  [3326/7048] NODES>20 (48 bodies): 140609_9462c427 → nodes_gt_20/
  [3333/7048] NODES>20 (32 bodies): 140769_9b324e26 → nodes_gt_20/
  [3341/7048] EDGES>60 (64 dir-edges): 140900_fece9855 → edges_gt_60/
  [3346/7048] NODES>20 (54 bodies): 140984_0596e640 → nodes_gt_20/
  [3357/7048] NODES>20 (36 bodies): 141179_0522ecc2 → nodes_gt_20/
  [3362/7048] NODES>20 (175 bodies): 141294_8b13a67d → nodes_gt_20/
  [3363/7048] NODES>20 (47 bodies): 141300_06f19ac4 → nodes_gt_20/
  [3364/7048] NODES>20 (54 bodies): 141333_3ba803f4 → nodes_gt_20/
  [3365/7048] NODES>20 (32 bodies): 141333_e315d257 → nodes_gt_20/
  [3379/7048] NODES>20 (107 bodies): 141638_a21f336f → nodes_gt_20/
  [3382/7048] EDGES>60 (70 dir-edges): 141670_a30844e0 → edges_gt_60/
  [3383/7048] NODES>20 (33 bodies): 141676_62045b05 → nodes_gt_20/
  [3394/7048] NODES>20 (43 bodies): 141812_e03d53ba → nodes_gt_20/
  [3401/7048] NODES>20 (46 bodies): 141889_ce1e9018 → nodes_gt_20/
  [3402/7048] NODES>20 (47 bodies): 141893_d7795e2a → nodes_gt_20/
  [3405/7048] NODES>20 (81 bodies): 141916_e6a44291 → nodes_gt_20/
  [3406/7048] NODES>20 (87 bodies): 141956_16ac8fc2 → nodes_gt_20/
  [3419/7048] NODES>20 (22 bodies): 142314_f5cc27a3 → nodes_gt_20/
  [3422/7048] NODES>20 (41 bodies): 142332_8e1a3b5a → nodes_gt_20/
