Pre-scanning 773 assemblies with 90s timeout each …
  [1/773] OK  100029_94515530
  [757/773] OK  95527_86ef6e61
  [758/773] OK  95627_ac3efdbe
  [759/773] OK  96175_a81ddef6
  [760/773] OK  96300_74466fc3
  [761/773] OK  96772_e8b22cc7
  [762/773] OK  97040_10c377bc
  [763/773] OK  97143_5424c420
  [764/773] OK  98299_b8146029
  [765/773] OK  98509_83d5bb6c
  [766/773] OK  98960_0638f395
  [767/773] OK  98960_0944b777
  [768/773] OK  98960_f2639863
  [769/773] OK  98986_b556b6cd
  [770/773] OK  99282_f545b74d
  [771/773] OK  99533_863fafa9
  [772/773] OK  99562_d561bf1a
  [773/773] OK  99849_96caf43a

Done. OK=773  quarantined=0
Remaining: 774 assemblies
